STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2007,,0.07,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2006,,0.06,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2005,,0.06,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2004,,0.06,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2003,,0.04,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2002,,0.04,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2001,,0.04,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2000,,0.05,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2023,,,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,ARE,United Arab Emirates,A,Annual,RE_TPES,Renewable energy supply,PT_SUP_NRG,Percentage of energy supply,_T,Total - all activities,2022,,0.9,,A,Normal value,,,0,Units,_Z,Not applicable,,,1,"1 year lag, timely",2,Two
